	degree	betweenness	eigenvector
Clinton	0.79	0.73	0.54
Bush	0.23	0.09	0.28
Trump	0.18	0.02	0.28
Cruz	0.17	0.03	0.25
Donald Trump	0.16	0.01	0.26
Hillary Clinton	0.15	0.01	0.24
Hillary	0.09	0.0	0.14
Obama	0.08	0.0	0.16
Kasich	0.08	0.0	0.16
Ted Cruz	0.08	0.0	0.18
Boehner	0.07	0.06	0.01
Marco Rubio	0.07	0.0	0.16
Ryan	0.07	0.08	0.09
Clintons	0.07	0.0	0.1
Jeb Bush	0.05	0.0	0.14
Carson	0.05	0.0	0.08
Romney	0.05	0.0	0.11
Paul	0.05	0.02	0.05
Abedin	0.05	0.02	0.07
Fiorina	0.04	0.0	0.05
Bernie Sanders	0.04	0.0	0.12
Reagan	0.03	0.0	0.05
McConnell	0.03	0.0	0.0
Ben Carson	0.03	0.0	0.1
Bill Clinton	0.03	0.0	0.08
Johnson	0.03	0.0	0.05
Chris Christie	0.02	0.0	0.07
Bergdahl	0.02	0.0	0.0
Mateen	0.02	0.0	0.0
Tai	0.02	0.0	0.0
Putin	0.02	0.0	0.0
Davis	0.02	0.0	0.0
Scalia	0.02	0.0	0.0
Netanyahu	0.02	0.0	0.0
Francis	0.02	0.0	0.0
Buckley	0.02	0.0	0.0
John Kasich	0.02	0.0	0.07
George W. Bush	0.02	0.0	0.07
Barack Obama	0.02	0.0	0.07
Paul Ryan	0.02	0.0	0.06
Donald Trump's	0.01	0.0	0.05
Richard Nixon	0.01	0.0	0.05
Sidney Blumenthal	0.01	0.0	0.05
Martin O'Malley	0.01	0.0	0.05
Jim Webb	0.01	0.0	0.05
John McCain	0.01	0.0	0.05
McCarthy	0.01	0.0	0.0
Bill	0.01	0.0	0.05
Rodham	0.01	0.0	0.05
BlackBerry	0.01	0.0	0.05
Sullivan	0.01	0.0	0.05
Pagliano	0.01	0.0	0.05
Marco	0.01	0.0	0.03
Powell	0.01	0.0	0.05
Vladimir Putin	0.01	0.0	0.05
Gowdy	0.01	0.0	0.05
Blumenthal	0.01	0.0	0.05
Bannon	0.01	0.0	0.05
Williams	0.01	0.0	0.05
Gore	0.01	0.0	0.05
Murphy	0.01	0.0	0.03
Jordan	0.01	0.0	0.05
Hillary Rodham	0.01	0.0	0.05
Huma	0.01	0.0	0.01
Christopher Stevens	0.01	0.0	0.05
Al Gore	0.01	0.0	0.05
Rand Paul	0.01	0.0	0.0
Lewinsky	0.01	0.0	0.05
Stevens	0.01	0.0	0.05
Hillary Clinton's	0.01	0.0	0.05
Sanders	0.01	0.0	0.05
Jeb	0.01	0.0	0.03
John Boehner	0.01	0.0	0.0
Warren	0.01	0.0	0.05
Wasserman Schultz	0.01	0.0	0.05
Biden	0.01	0.0	0.05
Hillary Rodham Clinton	0.01	0.0	0.05
Whitewater	0.01	0.0	0.05
Monica Lewinsky	0.01	0.0	0.05
Osama bin Laden	0.01	0.0	0.05
Mike Pence	0.01	0.0	0.05
Blackberry	0.01	0.0	0.05
Elizabeth Warren	0.01	0.0	0.05
Robby Mook	0.01	0.0	0.05
Politico	0.01	0.0	0.05
Kennedy	0.01	0.0	0.05
Tim Kaine	0.01	0.0	0.05
Kaine	0.01	0.0	0.05
Joe Biden	0.01	0.0	0.05
John Podesta	0.01	0.0	0.05
Comey	0.01	0.0	0.05
Michelle Obama	0.01	0.0	0.05
Bernie	0.01	0.0	0.05
